"Director_Name","Director_Gender"
"Glen Grefe","Unknown"
"Simon Verhoeven","M"
"Joseph Conti","Unknown"
"Mohamed Khan","M"
"Douglas Cheney","Unknown"
"J.D. Casey","Unknown"
"Jon Weimer","Unknown"
"Lory-Michael Ringuette","Unknown"
"Mike Watt","Unknown"
"Matt Spease","Unknown"
"Anthony Spadaccini","Unknown"
"Jay Lind","Unknown"
"Sol Clink","Unknown"
"Matt Walker","Unknown"
"Attila Dargay","Unknown"
"Carlos Enrique Taboada","Unknown"
"Francis Megahy","M"
"Jayant R. Harnam","Unknown"
"Samira Makhmalbaf","Unknown"
"Pedro Chaves","Unknown"
"Henrique Goldman","Unknown"
"Søren Fauli","Unknown"
"Áron Gauder","Unknown"
"Juan Martínez Moreno","Unknown"
"Mika Kaurismäki","M"
"Maurício Farias","M"
"John Alan Thompson","Unknown"
"Tim Rayne","Unknown"
"Þorsteinn Gunnar Bjarnason","M"
"Cirio H. Santiago","M"
"Arnold Fanck","M"
"Marshall Curry","Unknown"
"Tommy Withrow","M"
"Brian Katkin","M"
"Stanley Yung","Unknown"
"Wyott Ordung","Unknown"
"Michael Criscione","Unknown"
"Robert Marcarelli","M"
"Joe Viola","M"
"Stephanie Rothman","F"
"Joel M. Reed","Unknown"
"Irvin Berwick","Unknown"
"Eric Blakeney","M"
"Chris Terrio","Unknown"
"Louis Feuillade","M"
"John Shepphird","M"
"Daniel Barone","Unknown"
"Lou Vockell","Unknown"
"Silvio Bandinelli","Unknown"
"Jill Goldman","Unknown"
"Jean-Paul Ouellette","Unknown"
"Oksal Pekmezoğlu","Unknown"
"James Landis","M"
"Bruce Geller","M"
"Oliver Hodge","Unknown"
"Jack Gage","Unknown"
"Rick Ernst","Unknown"
"Thanasis Antoniou","Unknown"
"Cherien Dabis","F"
"Daniel E. Catullo","Unknown"
"Paul Shapiro","M"
"Robert D. Siegel","M"
"John Krasinski","M"
"Ramón Menéndez","M"
"Arnon Zadok","Unknown"
"Calum Grant","Unknown"
"Sergio Pastore","Unknown"
"Vittorio Sindoni","Unknown"
"Giuliano Carnimeo","Unknown"
"Mino Guerrini","Unknown"
"Jayson Rothwell","Unknown"
"Silvana Zancolo","Unknown"
"Malcolm Venville","M"
"Giovanni Simonelli","Unknown"
"Mario Bianchi","M"
"Piccio Raffanini","Unknown"
"Peter Neale","Unknown"
"Manuel Sicilia","Unknown"
"Andy Milligan","M"
"Gerri Sedley","Unknown"
"Richard Endelson","Unknown"
"Robert L. Roberts","Unknown"
"Donald Wolfe","Unknown"
"Tony DeGuide","Unknown"
"Bobby Ray Akers Jr.","M"
"David DeFino","Unknown"
"Chad Ferrin","Unknown"
"Chris R. Notarile","Unknown"
"Arch Oboler","M"
"László Kardos","Unknown"
"John Hoffman","Unknown"
"Leslie Goodwins","M"
"Charles Busch","M"
"Andrucha Waddington","Unknown"
"Luis Puenzo","Unknown"
"Sergey Bondarchuk","M"
"Yoshitaro Nomura","Unknown"
"Jun Ichikawa","Unknown"
"Yannis Smaragdis","Unknown"
"Athina Tsoulis","Unknown"
"Nick Murphy","M"
"David Kennard","Unknown"
"David Padrusch","Unknown"
"Martin Otevrel","Unknown"
"Raúl Ruiz","M"
"Francis D. Lyon","M"
"Oleg Pogodin","M"
"Richard Galbreath","Unknown"
"Isidoro M. Ferry","Unknown"
"Pierre Minhondo","Unknown"
"José Alvarenga Jr.","M"
"Emmett Alston","Unknown"
"Lindsay Shonteff","M"
"Amber Cordero","Unknown"
"Dave McVeigh","Unknown"
"Eloy de la Iglesia","M"
"Renzo Russo","Unknown"
"Alfredo Zacarías","Unknown"
"Barbara Peeters","F"
"Thierry Notz","M"
"Mabel Cheung","Unknown"
"Arthur Crabtree","Unknown"
"Markus Innocenti","Unknown"
"Piero Vivarelli","Unknown"
"Tano Cimarosa","Unknown"
"Yi-an Lou","Unknown"
"Eldar Salavatov","Unknown"
"Reinaldo Pinheiro","Unknown"
"Hari Mahesh","Unknown"
"Bernard Knowles","M"
"Christjan Wegner","Unknown"
"Ivan Calbérac","Unknown"
"Andy Abrahams Wilson","M"
"Pekka Parikka","Unknown"
"Gene Feldman","Unknown"
"Larry N. Stouffer","Unknown"
"James Mottern","Unknown"
"Ángel Manuel Soto","Unknown"
"Dan Milner","Unknown"
"Victor Adamson","Unknown"
"Randall Hood","Unknown"
"Mollie Miller","Unknown"
"Kim Sønderholm","Unknown"
"Mel House","F"
"Geraldine Winters","Unknown"
"Jimmyo Burril","Unknown"
"Massimiliano Cerchi","Unknown"
"Åke Lindman","Unknown"
"Tino Schwanemann","Unknown"
"Júlio Bressane","M"
"Jefery Levy","M"
"Lee Soo-yeon","F"
"Marcel Gisler","Unknown"
"Jimmy Wang Yu","M"
"Nietzchka Keene","Unknown"
"Rex Ingram","M"
"Felix E. Feist","M"
"Frank Wisbar","M"
"Bernard Carr","Unknown"
"Boris Ingster","M"
"Rachel Ward","F"
"Waris Hussein","M"
"Francisco Rodríguez Gordillo","Unknown"
"Joaquín Luis Romero Marchent","M"
"Edward Sloman","M"
"John Patterson","M"
"David M. Rosenthal","M"
"Dennis Vincent","Unknown"
"Greg Lewolt","Unknown"
"Mark Baranowski","Unknown"
"Grant Austin Waldman","Unknown"
"D.T. Carney","Unknown"
"Fauzi Mansur","M"
"André Génovès","Unknown"
"Alain Deruelle","Unknown"
"Shakti Samanta","M"
"Jugal Hansraj","M"
"David Hughes","M"
"Paco Lucio","Unknown"
"Luis María Delgado","Unknown"
"Reed Richmond","Unknown"
"Chester Fox","Unknown"
"Jean Van Hearn","Unknown"
"Frank Patterson","Unknown"
"Sigrid Klausmann-Sittler","Unknown"
"Robert M. Young	","Unknown"
"Jesper Møller","Unknown"
"José Luis Guerin","Unknown"
"Rafael Romero Marchent","Unknown"
"Sidney W. Pink","Unknown"
"David Michael Quiroz Jr.","Unknown"
"Alex Infascelli","Unknown"
"John Kaye Cooper","Unknown"
"Tom Jeffrey","Unknown"
"Tony Silver","Unknown"
"Chris Staron","Unknown"
"Sidney Gilliat","M"
"John R. Bowey","M"
"Lawrence Thomas","Unknown"
"Oliver Drake","Unknown"
"Jim McCullough Sr.","Unknown"
"Walter Forde","M"
"Dave Campfield","Unknown"
"Robert Rhodin","M"
"John Birmingham","Unknown"
"Mitchell Leisen","M"
"Brett Kelly","M"
"Norberto Barba","M"
"Michelle Deal","Unknown"
"Edward Holzman","Unknown"
"Neten Chokling","Unknown"
"Maurice Tobias","Unknown"
"Christopher Forbes","Unknown"
"John Huckert","Unknown"
"Vinnie Bilancio","Unknown"
"Daniel D'Or","Unknown"
"John T. Bone","Unknown"
"Henri Pachard","M"
"Stephen C. Apostolof","Unknown"
"T.L. Lankford","M"
"Domonic Paris","Unknown"
"Fred P. Watkins","Unknown"
"Tim Colceri","M"
"Jonathan Dueck","M"
"Wallace Potts","Unknown"
"Robbie Bryan","Unknown"
"Lane Shefter Bishop","Unknown"
"Maurice Elvey","M"
"Eric Bilodeau","Unknown"
"Geoffrey de Valois","Unknown"
"Alberto Abruzzese","Unknown"
"Everette Hartsoe","Unknown"
"Magnus Egler","Unknown"
"Erik Fritjofson","Unknown"
"Dane Cannon","M"
"Zak Bagans","Unknown"
"Froi Cuesta","Unknown"
"Jesús García","Unknown"
"Manny Coto","M"
"Rowland Brown","M"
"Adam Dubin","Unknown"
"Steven Smith","Unknown"
"Rod Bingaman","M"
"Bobby Sheehan","Unknown"
"Kazuya Konaka","Unknown"
"J. Grimm","Unknown"
"Mrinal Sen","M"
"Mario Cimadevilla","Unknown"
"Lloyd A. Simandl","M"
"Charla Driver","F"
"Richard W. Munchkin","M"
"Eriq La Salle","M"
"Joseph F. Robertson","Unknown"
"Steven Pearl","M"
"Philip Marcus","Unknown"
"Harry Hurwitz","M"
"Rosemarie Turko","Unknown"
"Piotr Trzaskalski","Unknown"
"Lawrence Blume","Unknown"
"Lauri Nurkse","Unknown"
"Theodore Gershuny","Unknown"
"Myrl A. Schreibman","Unknown"
"John C. Broderick","M"
"Tim Sullivan","Unknown"
"Alfonso Corona Blake","Unknown"
"Miguel Morayta","Unknown"
"Alfredo B. Crevenna","Unknown"
"Irving Cummings","M"
"Mudassar Aziz","Unknown"
"Cole S. McKay","M"
"Lewis Schoenbrun","M"
"Mark Tapio Kines","Unknown"
"Lonnie Martin","Unknown"
"Joe Finley","Unknown"
"Ray McKinnon","M"
"Jeff Richter","Unknown"
"Stuart Hazeldine","Unknown"
"Howard Michael Gould","M"
"Daniel Espinosa","M"
"Jesús del Cerro","M"
"Thomas Ashley","Unknown"
"Severin Eskeland","Unknown"
"Guy Crawford","Unknown"
"Marc Saltarelli","Unknown"
"Srđan Dragojević","Unknown"
"Judith Vogelsang","Unknown"
"Scott Harris","Unknown"
"George Mendeluk","M"
"Bastian Clevé","Unknown"
"Juan Logar","Unknown"
"Raju Patel","Unknown"
"Mike Baronas","Unknown"
"Ryousuke Takahashi","Unknown"
"Jørn Winther","Unknown"
"Harry Kerwin","Unknown"
"Wayne Crawford","M"
"Robert Gordon","Unknown"
"Thomas Dewier","Unknown"
"Isamu Nakae","Unknown"
"Seong-wook Kim","Unknown"
"Jeong-wook Lee","Unknown"
"Joanna Hogg","Unknown"
"Jason Carvey","Unknown"
"Anthony Fabian","M"
"Amir Chamdin","M"
"Bernard Vorhaus","M"
"Don Weis","M"
"Sara Johnsen","F"
"Charles David","Unknown"
"Ari Gold","M"
"Adrián García Bogliano","Unknown"
"Raymond Nassour","Unknown"
"David A. Goldberg","Unknown"
"Max Allan Collins","Unknown"
"Roy Rowland","M"
"Todd A. Kaylor","Unknown"
"Leo Fong","M"
"Park Chul-soo","M"
"Todd Fischer","Unknown"
"Tom Kennedy","Unknown"
"Chris Warren","Unknown"
"Adam Bernstein","M"
"Umesh Vinayak Kulkarni","Unknown"
"Amy Rice","F"
"Cheung Sum","M"
"Mark Anthony Galluzzo","M"
"K. Viswanath","Unknown"
"Henry Cornelius","M"
"Billy Howerdel","Unknown"
"Joe Perota","Unknown"
"Mark Magidson","M"
"Jim McCullough Jr.","Unknown"
"Guy Green","M"
"Li Yu","F"
"Damian Chapa","M"
"Tom Bussmann","Unknown"
"Eric Mandelbaum","M"
"Don Most","M"
"Daniel Millican","M"
"Stewart Wade","M"
"Cláudio Torres","M"
"Bob Gosse","M"
"Mark Neale","Unknown"
"Benoît Mariage","M"
"Nnegest Likké","F"
"Thomas Riedelsheimer","Unknown"
"Soji Yoshikawa","Unknown"
"Chris Munro","M"
"Yuji Morihara","Unknown"
"Mark Cowen","M"
"Ricardo Trogi","M"
"Audu Paden","Unknown"
"George King","M"
"Paul Justman","M"
"Marshall Brickman","M"
"Arne Lindtner Næss","Unknown"
"Anton Leader","M"
"Matt King","M"
"Robert Boris","Unknown"
"Kevin Carraway","Unknown"
"Shaun Monson","Unknown"
"Sophie Barthes","F"
"Staffan Lindberg","Unknown"
"Feliks Falk","Unknown"
"Jytte Abildstrøm","Unknown"
"Dan DeVivo","Unknown"
"Stuart Paton","Unknown"
"Gilbert Namiand","Unknown"
"Jean-Louis Cap","Unknown"
"Robert Harling","M"
"David Wechter","M"
"Kayo Hatta","Unknown"
"Patricia Cardoso","Unknown"
"Ignacio F. Iquino","Unknown"
"John 'Bud' Cardos","Unknown"
"Jeff Thomas","Unknown"
"Alejandro Chomski","Unknown"
"Richard Standeven","Unknown"
"Christina Wayne","Unknown"
"Link Neal","M"
"Phil Grabsky","M"
"Robert Capelli Jr.","M"
"Aiden Dillard","Unknown"
"Scott McCullough","Unknown"
"Alan Roberts","M"
"Timothy Gates","Unknown"
"Gordon Parry","Unknown"
"Henriette Mantel","Unknown"
"Nunzio La Bianca","Unknown"
"John Saxon","M"
"Ben Dixon","Unknown"
"James Morgart","Unknown"
"Marc Fratto","Unknown"
"Ajmal Zaheer Ahmad 	","Unknown"
"Júlíus Kemp","Unknown"
"Nathan Fisher","Unknown"
"George Bonilla","Unknown"
"Jacob Ennis","Unknown"
"Michael Mongillo","Unknown"
"Jerry Williams","Unknown"
"Andrew Lauer","M"
"Carl J. Sukenick","M"
"Michael Bergmann","Unknown"
"Ari M. Roussimoff","Unknown"
"Randall M. Badat","Unknown"
"James Beshears","Unknown"
"Erik Fleming","M"
"Taylor Congdon","Unknown"
"Jan Harlan","M"
"Steve Barkett","M"
"Daniel Ortiz-Entrambasaguas","Unknown"
"Yuji Nakae","Unknown"
"Louis Findlay","Unknown"
"D.W. Kann","M"
"Brandon David","M"
"Tiago Guedes","Unknown"
"Stefano Bessoni","Unknown"
"Jeffrey Mandel","Unknown"
"Michel Lemoine","M"
"Khwaja Sarfraz","Unknown"
"Ed Hansen","Unknown"
"Kelly Gordon","Unknown"
"Bill Raymond","M"
"James P. Blake","Unknown"
"Johnny Crash","Unknown"
"Norman J. Warren","M"
"Phil Herman","Unknown"
"Glenn Andreiev","Unknown"
"Takashi Nakamura","Unknown"
"Insane Mike Saunders","Unknown"
"Victor Bonacore","Unknown"
"Joe Davison","Unknown"
"Jamie Greco","Unknown"
"Edward G. Norris","Unknown"
"Michael Tarzian","Unknown"
"Barry Alexander Brown","M"
"Brian Owens","M"
"Sidney Mansa Winters","Unknown"
"Alan Birkinshaw","M"
"Lewis Baumander","Unknown"
"Kim Rossi Stuart","M"
"Rahul Rawail","Unknown"
"Simon Ellis","M"
"Martin Curland","Unknown"
"Raphaël Delpard","Unknown"
"Byron Mabe","M"
"William Crain","M"
"Timothy O'Rawe","Unknown"
"José Luis Merino","Unknown"
"Douglas Barr","M"
"David Benullo","M"
"Jack Bond","Unknown"
"Staffan Götestam","Unknown"
"Stephen Weeks","M"
"Karen Arthur","Unknown"
"Steven Esteb","Unknown"
"Osamu Kaneda","M"
"Guy Moshe","M"
"Mikhail Porechenkov","M"
"Iku Suzuki","Unknown"
"Vincent Paterson","Unknown"
"Chester Erskine","M"
"Ric Cantor","Unknown"
"Stanislav M. Sokolov","M"
"Jacques Feyder","M"
"Yılmaz Erdoğan","M"
"Bruce A. Block","M"
"Edward D. Murphy","Unknown"
"Jonathan Heap","M"
"Steven Lovy","M"
"Kostas Karagiannis","M"
"Damian Klaus","Unknown"
"Fred Gallo","Unknown"
"Paul Lynch","M"
"Donald Wrye","M"
"Lee Philips","M"
"Russ Parr","M"
"Thomas Mignone","M"
"Albertina Carri","F"
"Ken Ghosh","M"
"Agneta Elers-Jarleman","Unknown"
"Göran Carmback","Unknown"
"Lars Calonius","Unknown"
"Michael Elliot","Unknown"
"William Richert","M"
"Gérard Kikoïne","M"
"Isidro Ortiz","Unknown"
"John Tatoulis","Unknown"
"Tab Murphy","M"
"Chuck Cirino","M"
"David Oliver","M"
"Adam Cole","Unknown"
"Michael J. Murphy","M"
"Scott P. Plummer","Unknown"
"John Stanley","Unknown"
"Dennis Saunders","Unknown"
"Ellen Perry","Unknown"
"Wilhelm Liebenberg","M"
"William H. Molina","Unknown"
"Jim Dziura","Unknown"
"Peter Flynn","M"
"Antony Balch","Unknown"
"Jeff Campagna","Unknown"
"Viktors Ritelis","Unknown"
"Jeb Brien","Unknown"
"Norman Maurer","M"
"Simon Aeby","Unknown"
"Brian D. Horrorwitz","Unknown"
"Carlitos Ruiz Ruiz","Unknown"
"Tom Moore","Unknown"
"Joseph P. Mawra","Unknown"
"Jennifer Leitzes","F"
"E.W. Swackhamer","Unknown"
"Claudio Guzmán","Unknown"
"Joseph W. Sarno","M"
"Raphael Nussbaum","M"
"Colin Eggleston","Unknown"
"Ray Nadeau","Unknown"
"Stu Segall","Unknown"
"Jeff Arch","M"
"Peter Spirer","M"
"Min Gyoo-dong","M"
"Henrik Hellström","Unknown"
"Petra Epperlein","F"
"Aleksandr Melnik","Unknown"
"Gabriele Albanesi","M"
"Mehdi Norowzian","Unknown"
"Bob McKeown","Unknown"
"Stephen Kijak","M"
"Bill Butt","Unknown"
"Laura Gabbert","F"
"Anil Sharma","M"
"James Miller","Unknown"
"Caroline Suh","Unknown"
"Chano Urueta","Unknown"
"Carlos Hugo Christensen","M"
"Nico Mastorakis","Unknown"
"William Byron Hillman","Unknown"
"Pierre David","M"
"Jim O'Connolly","M"
"Timothy Galfas","M"
"Tony Leung Siu-Hung","Unknown"
"Philip Saville","M"
"Edward Ryan","Unknown"
"Chris Menges","M"
"Perry Joseph","Unknown"
"Pete McCormack","M"
"Abel Ferry","Unknown"
"Michel O. Scott","Unknown"
"Cevin D. Soling","M"
"Michael Grossman","M"
"Ramiro Aguilar","Unknown"
"Jonathan Sarno","Unknown"
"Del Tenney","M"
"Ma-Xu Weibang","M"
"James Aviles Martin","Unknown"
"John Elias Michalakis","Unknown"
"E. Max Frye","Unknown"
"Dominique Forma","Unknown"
"Jaco Van Dormael","M"
"Robert Patton-Spruill","M"
"Kiefer Sutherland","M"
"John Doyle","M"
"Shamim Sarif","F"
"Cristi Puiu","Unknown"
"Ryutaro Nakamura","Unknown"
"Alex Galvin","Unknown"
"Lisbet Dahl","Unknown"
"Brad J. Silverman","Unknown"
"Sherman A. Rose","Unknown"
"Ali Selim","Unknown"
"Takeshi Shirado","Unknown"
"Monkey Punch","Unknown"
"Hideki Tonokats","Unknown"
"Koji Enokido","Unknown"
"Giuseppe De Santis","Unknown"
"Gleb Orlov","Unknown"
"Togan Gökbakar","Unknown"
"Eric Laneuville","M"
"Alex De Rakoff","Unknown"
"Laura Mañá","F"
"Jonathan Liebert","Unknown"
"Ari Sandel","Unknown"
"Alexander Grasshoff","Unknown"
"Richard Friedenberg","M"
"Sarah Harding","Unknown"
"Emiliano Goessens","Unknown"
"Peter Levin","Unknown"
"Attila Bertalan","Unknown"
"Douglas Buck","Unknown"
"Gorman Bechard","Unknown"
"Sandy Collora","M"
"Lane Nishikawa","Unknown"
"Fabrice Barrilliet","Unknown"
"Terence Michael O'Malley","M"
"Marco Amenta","Unknown"
"Cullen Hoback","Unknown"
"Don Barton","Unknown"
"Bill Rebane","M"
"Will Zens","Unknown"
"Robert F. Slatzer","Unknown"
"Paul Leder","M"
"Tjardus Greidanus","Unknown"
"Sam Mraovich","Unknown"
"Aune Sand","Unknown"
"Richard Ashe","Unknown"
"Eldar Ryazanov","M"
"Yasunori Urata","Unknown"
"Alfred Zeisler","M"
"Ian Fitzgibbon","M"
"Ernest D. Farino","Unknown"
"Boris Acosta","Unknown"
"Rodrigo Blaas","M"
"Dmitriy Kiselev","M"
"Harmage Singh Kalirai","Unknown"
"Kate Madison","Unknown"
"Gilles Béhat","Unknown"
"Franz Seitz junior","M"
"Nesli Çölgeçen","Unknown"
"Michael Pate","M"
"Christina Yao","Unknown"
"C.L. Hor","Unknown"
"Ruba Nadda","F"
"Russell Friedenberg","M"
"Gabriel Cowan","M"
"Kentucker Audley","Unknown"
"Paul Caslin","Unknown"
"Craig Fruin","Unknown"
"Alberto Lattuada","M"
"Stephen Shimek","Unknown"
"Benjamin Turner","Unknown"
"Jennie Livingston","Unknown"
"Ilya Khrzhanovsky","Unknown"
"David O'Reilly","Unknown"
"Herbert J. Leder","Unknown"
"Sydney J. Bartholomew Jr.","Unknown"
"Rafael Portillo","Unknown"
"Kenneth J. Berton","Unknown"
"Ugo Fabrizio Giordani","Unknown"
"Matthew Mallinson","Unknown"
"György Gát","Unknown"
"Koji Ota","M"
"Bill Cowell","Unknown"
"Saran Barnun","Unknown"
"Peter Horak","Unknown"
"Lee Sholem","M"
"Jane Arden","Unknown"
"James Westby","M"
"Jerzy Hoffman","M"
"Vic Savage","M"
"Michael Rissi","Unknown"
"Kartal Tibet","Unknown"
"Cy Roth","M"
"Lisa France","F"
"Arch Hall Sr.","Unknown"
"René Vautier","Unknown"
"Per Berglund","M"
"Carlos Coelho da Silva","Unknown"
"Tom Clegg","M"
"Satsuo Yamamoto","Unknown"
"Chao Feng","Unknown"
"Antonio Banderas","M"
"Jacques Brel","Unknown"
"Dave Fleischer","M"
"Kôtarô Terauchi","Unknown"
"Leon Lozano","Unknown"
"David Ondříček","Unknown"
"Lin Yu-hsien","M"
"Kōji Wakamatsu","Unknown"
"Xavier Giannoli","Unknown"
"Alain Tasma","M"
"Pierre Carles","Unknown"
"Jean-Pierre Darroussin","M"
"René Viénet","M"
"Tsutomu Shibayama","Unknown"
"Oz Scott","M"
"Dominic Higgins","Unknown"
"Mark Blutman","M"
"Don Henderson","Unknown"
"Ray Dennis Steckler","M"
"Jack Bravman","Unknown"
"Tayfun Güneyer","Unknown"
"Bryan Michael Stoller","M"
"Jean-Claude La Marre","M"
"Fritz Böttger","Unknown"
"Boris Petroff","Unknown"
"Giacomo Gentilomo","Unknown"
"Sergiu Nicolaescu","Unknown"
"Dušan Kovačević","M"
"Ertem Eğilmez","M"
"Stanisław Bareja","Unknown"
"Edward Sedgwick","M"
"Zeki Demirkubuz","Unknown"
"Valeriya Gay Germanika","Unknown"
"Diana Wilson","Unknown"
"Ned Farr","Unknown"
"Mourad Boucif","Unknown"
"Marc Rivière","Unknown"
"Olivier Ringer","Unknown"
"Alison Reid","Unknown"
"Avery Crounse","M"
"Perry Ogden","Unknown"
"Dennis Dimster","Unknown"
"Bix Skahill","Unknown"
"Philip Chidel","Unknown"
"Jack Green","M"
"Dean Karr","Unknown"
"Fabio Jafet","Unknown"
"Juan Gonzalez","M"
"Kazuhiro Furuhashi","Unknown"
"Andrew Scheinman","M"
"Fred Niblo","M"
"John Mathew Matthan","Unknown"
"Teodore Chapkunov","Unknown"
"Dennis Van Zak","Unknown"
"Paul Bales","M"
"Susan Koch","Unknown"
"Aram Katcher","M"
"John Edginton","Unknown"
"Gabriel Pascal","Unknown"
"David Bourla","M"
"Tom Mattera","Unknown"
"Percy Nash","Unknown"
"Masaru Konuma","Unknown"
"Jason Dudek","M"
"Setsuo Takase","Unknown"
"Richard Blackburn","M"
"Hiroyuki Yano","Unknown"
"Derek Kwok Chi-Kin","Unknown"
"Kodi Rama Krishna","Unknown"
"Timothy Hutton","M"
"Toshihiro Hirano","Unknown"
"Joe Ma Wai-Ho","Unknown"
"Tim Watso","Unknown"
"Stephen Cragg","M"
"Edvins Snore","M"
"Greg Browning","Unknown"
"Dorothy Ann Puzo","Unknown"
"David Heavener","Unknown"
"Park Dae-min","Unknown"
"Nobby Clark","Unknown"
"Owen Coughlan","Unknown"
"Mathew Nelson","Unknown"
"J. David Gonella","Unknown"
"Peter Sinclair","M"
"Jethro","Unknown"
"Seijiro Koyama","M"
"Timmy Turner","Unknown"
"Taylor Steele","Unknown"
"Yoshikazu Yasuhiko","M"
"Lowell Sherman","Unknown"
"Derek Vanlint","M"
"Brett Whitcomb","Unknown"
"Isaac Julien","M"
"Cliff Owen","Unknown"
"Gabriel Aghion","M"
"Bruce Gowers","M"
"Norman Panama","M"
"Adam Jones","Unknown"
"Thomas Mignone","Unknown"
"Mike Akel","Unknown"
"Jeff Anderson","M"
"Manuel Gómez Pereira","Unknown"
"Yang Ik-joon","Unknown"
"DJ Vlad","Unknown"
"Dr Paul Lam","Unknown"
"Jacek Gasiorowski","Unknown"
"Jan Kidawa-Blonski","Unknown"
"Andrzej Kondratiuk","Unknown"
"Barthélémy Grossmann","Unknown"
"Darren Curtis","Unknown"
"Miguel Sapochnik","M"
"Gregory Ratoff","M"
"Adrian Pennick","Unknown"
"Jon Stone","M"
"Andy de Emmony","M"
"Keiichi Sato","M"
"Ajay Devgn","M"
"Joann Sfar","M"
"Clive McAlpin","Unknown"
"Tzvi Shissel","M"
"Sam Grossman","Unknown"
"Catherine Morshead","F"
"Uri Barbash","M"
"Eli Cohen","Unknown"
"Matt Dillon","M"
"Bob Bralver","Unknown"
"Shay Kanot","Unknown"
"Pim van Hoeve","Unknown"
"Kees Van Oostrum","Unknown"
"Peter Payer","M"
"Michael Reeves","M"
"Constantine Nasr","Unknown"
"W.D. Hogan","Unknown"
"John Keitel","M"
"Sean Stanek","Unknown"
"Prawal Raman","Unknown"
"Paul Dickson","M"
"Laurice Guillen","F"
"Sarah Schenck","Unknown"
"Bryce Olson","Unknown"
"Jeff Celentano","Unknown"
"Bill Rogers","Unknown"
"Allen Baron","M"
"David Bryant","M"
"Phenomenon","Unknown"
"Andrew Wiest","M"
"Simon Ardizzone","Unknown"
"Leszek Burzynski","Unknown"
"Robert Kaylor","Unknown"
"Paul Golding","Unknown"
"Geoffrey Reeve","Unknown"
"Rick King","M"
"Robert Radler","M"
"Byron Chudnow","Unknown"
"Jean Louis Mourney","Unknown"
"Brian Hannant","M"
"Stephen Metcalfe","M"
"Euzhan Palcy","F"
"Philip D'Antoni","M"
"Samuel Maoz","M"
"Peter Pau","M"
"Philippe Aractingi","Unknown"
"Timo Koivusalo","Unknown"
"Cliff Roquemore","M"
"Adam Salky","M"
"Scott DePace","Unknown"
"Gerhard Hroß","Unknown"
"Panjak Sharma","Unknown"
"Steven Hahn","Unknown"
"Jeong Yong-Ki","Unknown"
"Siu-hung Chung","Unknown"
"Ahn Byeong-ki","M"
"Jo Dong-oh","Unknown"
"Ho Choi","Unknown"
"Kim Seong-soo","Unknown"
"Woo-cheol Lee","Unknown"
"Billy Chung","Unknown"
"Jin-won Choi","Unknown"
"Michael Walker","M"
"Esther Rots","Unknown"
"Ik-hwan Choe","Unknown"
"Lal","M"
"Bart Sibrel","Unknown"
"Takaaki Ishiyama","Unknown"
"Eric Gibson","Unknown"
"Gary Dean Orona","Unknown"
"Akhenaton","Unknown"
"Dorothy Arzner","F"
"Earl McEvoy","M"
"Brahman Turner","Unknown"
"Dennis C. Lewiston","Unknown"
"Dan Matthews","Unknown"
"Benny Mathews","Unknown"
"Cary Solomon","Unknown"
"Piyush Dinker Pandya","Unknown"
"Anurag Mehta","Unknown"
"Peter Scarf","Unknown"
"James R. Gorrie","Unknown"
"Lawrence Bassoff","Unknown"
"Michael W. Watkins","M"
"Tak-Sam Leong","Unknown"
"Jae-yeon Yun","Unknown"
"Baek Woon-Hak","Unknown"
"Phil Hay","M"
"Thomas Nennstiel","M"
"Sergio Rezende","M"
"Andrey Eshpay","Unknown"
"David Cross","M"
"Yoon Hong-seung","M"
"Kenneth Bowser","M"
"Salvador García Ruiz","Unknown"
"Tiffanie DeBartolo","Unknown"
"Daniel Maze","Unknown"
"Hideshi Hino","Unknown"
"Ricardo Islas","Unknown"
"Andrew Green","M"
"Kevin Elders","M"
"Vince Offer","Unknown"
"Nicholas Webster","M"
"Bill Couturié","M"
"Kat Slater","Unknown"
"Ferdi Eğilmez","Unknown"
"Donald Crisp","Unknown"
"Hans Richter","M"
"Will Mackenzie","M"
"Steven Kampmann","M"
"Robert Downey Sr.","M"
"David Mortin","Unknown"
"Jennifer Devoldère","Unknown"
"Joe Knee","Unknown"
"Murat Seker","Unknown"
"François Alaux","Unknown"
"Valérie Lemercier","F"
"Arnold Leibovit","Unknown"
"Shana Feste","Unknown"
"William Friese-Greene","M"
"Matt Brookens","Unknown"
"Burt Gillett","Unknown"
"Deepak Balraj Vij","Unknown"
"Валерий Угаров","Unknown"
"Richard Natale","Unknown"
"Bill Sherwood","Unknown"
"Eddy Moretti","M"
"Shaun O'Riordan","Unknown"
"Sergio Oksman","Unknown"
"Scarlett Marshall","Unknown"
"Kieran Jarvis-Brown","Unknown"
"Luke Baldwin Smith","Unknown"
"Modi","Unknown"
"Bennie Woodell","Unknown"
"Mi-sen Wu","Unknown"
"Chin Man-Kei","Unknown"
"Tony Vitale","M"
"Song-jae Hwang","Unknown"
"Jeffrey Maccubbin","Unknown"
"Don Hertzfeldt","M"
"Josetxo San Mateo","Unknown"
"Johnny Kevorkian","Unknown"
"Roberto Burchielli","Unknown"
"Antoni P. Canet","Unknown"
"Lluís Danés","Unknown"
"Adolfo Aristarain","M"
"Joaquim Jordà","Unknown"
"Bruce Koehler","Unknown"
"Alexander Finbow","Unknown"
"Chuck Vinson","M"
"Katja Eyde Jacobsen","Unknown"
