"Director_Name","Language","Language_Fullname"
"Sylke Enders","de","German"
"John Florea","en","English"
"Charles Band","en","English"
"Danny Bilson","en","English"
"James Signorelli","en","English"
"Maurice Murphy","en","English"
"Paul Borghese","en","English"
"David Anspaugh","en","English"
"Nathan H. Juran","en","English"
"Peter Kahane","de","German"
"Richard Schickel","en","English"
"Anton Corbijn","en","English"
"Ramin Bahrani","en","English"
"Mike Cahill","en","English"
"John Carney","en","English"
"Maria Speth","de","German"
"Werner Schroeter","en","English"
"Terry Bourke","en","English"
"David A. Prior","en","English"
"Dirk Shafer","en","English"
"Jay Duplass","en","English"
