"Director_Name","Language","Language_Fullname"
"Andrzej Bartkowiak","en","English"
"Peter Medak","en","English"
"Kurt Voss","en","English"
"Robby Henson","en","English"
"Dick Maas","nl","Dutch; Flemish"
"John Rich","en","English"
"Richard Greenberg","en","English"
"John Putch","en","English"
"George Sidney","en","English"
"Rod Lurie","en","English"
"Mario Gariazzo","en","English"
"Richard C. Sarafian","en","English"
"Ralph Thomas","en","English"
"John Hughes","en","English"
"Brett Ratner","en","English"
"Gérard Krawczyk","fr","French"
"Brian Helgeland","en","English"
"Hironobu Sakaguchi","en","English"
"Paul Schrader","en","English"
"Carl Franklin","en","English"
"Marc Rothemund","de","German"
"Howard Deutch","en","English"
"Richard Rush","en","English"
"Lewis Teague","en","English"
"Nick Lyon","en","English"
"David Drury","en","English"
"George Pal","en","English"
"Simon Wells","en","English"
"Andrew Lau","cn",NA
"Mark Rydell","en","English"
"Harald Zwart","en","English"
"Uli Edel","en","English"
"Cecilia Peck","en","English"
"Irwin Allen","en","English"
"Kari Skogland","en","English"
"Malcolm Mowbray","en","English"
"Murali K. Thalluri","en","English"
"Peter Timm","de","German"
"David Wain","en","English"
"Nils Gaup","en","English"
"Daniel Sackheim","en","English"
"Colin Nutley","sv","Swedish"
"Ciarán Tanham","en","English"
"María Lidón","en","English"
"Benjamin Quabeck","de","German"
"Frank Oz","en","English"
"Marion Hänsel","fr","French"
"Michael Fischa","en","English"
"Frank Beyer","de","German"
"Walter Bannert","de","German"
"Julien Temple","en","English"
"Max Färberböck","de","German"
"Ole Bornedal","da","Danish"
"Johannes Fabrick","de","German"
"Frank Vogel","de","German"
"Egon Günther","de","German"
"Kurt Maetzig","de","German"
"Werner W. Wallroth","de","German"
"Günter Reisch","de","German"
"Roland Gräf","de","German"
"Heiner Carow","de","German"
"Gerhard Klein","de","German"
"Ralf Kirsten","de","German"
"Leander Haußmann","de","German"
"Harold Becker","en","English"
"Aubrey Powell","en","English"
"Joachim Kunert","de","German"
"Costa-Gavras","fr","French"
"Johannes Schaaf","de","German"
"Robert Shaye","en","English"
"Timur Bekmambetov","ru","Russian"
"Matthew Vaughn","en","English"
"Penny Marshall","en","English"
"Maurice Pialat","fr","French"
"Zach Helm","en","English"
"Ben Sombogaart","nl","Dutch; Flemish"
"David LaChapelle","en","English"
"Peter Kassovitz","en","English"
"Bernhard Sinkel","de","German"
"Joe Pytka","en","English"
"Peter Schulze-Rohr","de","German"
"Armin Mueller-Stahl","de","German"
"Patrice Chéreau","fr","French"
"Axel Corti","de","German"
"Joshua Brand","en","English"
"Detlef Rönfeldt","de","German"
"Uwe Boll","en","English"
"Ben Younger","en","English"
"Jean Stewart","en","English"
"Harley Cokeliss","en","English"
"Eric Small","en","English"
"Phil Alden Robinson","en","English"
"George Gallo","en","English"
"Aleksandr Buravsky","en","English"
"Gérard Pirès","fr","French"
"Roger Young","en","English"
"Heinrich Breloer","de","German"
"Heiner Stadler","de","German"
"Jia Zhangke","zh","Chinese"
"Lars Büchel","de","German"
"Mike Binder","en","English"
"Nigel Cole","en","English"
"Paolo Taviani","it","Italian"
"Michael Crichton","en","English"
"Aleksandr Alov","en","English"
"Édouard Molinaro","fr","French"
"Iradj Azimi","en","English"
"Jean-Pierre Mocky","fr","French"
"Benoît Lamy","en","English"
"Sergei Yutkevich","ru","Russian"
"Julien Donada","en","English"
"René Féret","fr","French"
"Pierre Schoendoerffer","en","English"
"Gérard Brach","en","English"
"Jean-Daniel Verhaeghe","fr","French"
"Rodney McDonald","en","English"
"Louis Grospierre","fr","French"
"René Manzor","en","English"
"Kei Kumai","en","English"
"Eriprando Visconti","it","Italian"
"Gabi Kubach","de","German"
"Franco Zeffirelli","en","English"
"Bernard Toublanc-Michel","en","English"
"Henri Helman","en","English"
"Jacques Demy","fr","French"
"Javier Balaguer","es","Spanish; Castilian"
"James Yukich","en","English"
"George Seaton","en","English"
"Roger Christian","en","English"
"Catherine Hardwicke","en","English"
"Marcel Carné","fr","French"
"Johnnie To","cn",NA
"Fernando Trueba","es","Spanish; Castilian"
"Stefen Fangmeier","en","English"
"Paul Greengrass","en","English"
"Jack Clayton","en","English"
"Hirokazu Koreeda","ja","Japanese"
"Gianfranco De Bosio","it","Italian"
"James L. Brooks","en","English"
"John Patrick Shanley","en","English"
"Gérard Jugnot","en","English"
"Amy Holden Jones","en","English"
"Anand Tucker","en","English"
"James Orr","en","English"
"Norman René","en","English"
"Mark L. Lester","en","English"
"Bonnie Hunt","en","English"
"Luis Llosa","en","English"
"Eric Tsang","cn",NA
"Tsui Hark","cn",NA
"Ringo Lam","cn",NA
"Liu Chia-Liang","zh","Chinese"
"David Slade","en","English"
